source_repo,source_branch,source_tree_sha,source_path,source_blob_sha,source_size,target_repo,target_path,migration_action,status
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/astro.config.mjs","d5035a3ffeb848dc0bc448c91d4277574fe2dba8","848","Sas-Executar/next-forge","apps/blog/astro.config.mjs","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/package.json","3f8ce5645a0c015cc2f5be4ee1d2f0fe25d9f7a6","984","Sas-Executar/next-forge","apps/blog/package.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/RichTextRenderer.tsx","756541cdbbfe5826adb1a84903ab09568d9e9e63","1895","Sas-Executar/next-forge","apps/blog/src/components/RichTextRenderer.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/ArticleMeta.astro","18a77d57af9fad246080533f6cd8b7c4a9b5a812","455","Sas-Executar/next-forge","apps/blog/src/components/editorial/ArticleMeta.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/BottomBar.astro","c6928b5c7123759a76005a8f4c2b41b9b4f9b277","978","Sas-Executar/next-forge","apps/blog/src/components/editorial/BottomBar.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/Button.astro","5b4554b7e00d26128e2d389f36ff838529919a30","749","Sas-Executar/next-forge","apps/blog/src/components/editorial/Button.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/Callout.tsx","69b6bc75787c113dee3f1e0c8370afc41e51150b","1532","Sas-Executar/next-forge","apps/blog/src/components/editorial/Callout.tsx","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/Carousel.astro","72a9c0259b6df51963b8c01e7502dac6277c957d","920","Sas-Executar/next-forge","apps/blog/src/components/editorial/Carousel.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/Drawer.astro","e74c518e8252e732fb973877b7ad4c1a2c330bdb","1915","Sas-Executar/next-forge","apps/blog/src/components/editorial/Drawer.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/FeatureMedia.astro","381261815f139dc9b7aaeb6676426ff75f9f343e","1180","Sas-Executar/next-forge","apps/blog/src/components/editorial/FeatureMedia.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/Footer.astro","a0f66aa88516bafcf7e1a55ea95fa290d5f41891","591","Sas-Executar/next-forge","apps/blog/src/components/editorial/Footer.astro","REFERENCE","RECONCILIATION_REQUIRED"
